,Year,Album Names,Album Type,Record Label(s),Song Name,Medley,Artist(s),Composer(s),Lyricist(s),Adapted from,Originally Sang by,Movie,Movie Role
0,1974,鬼馬雙星,Full,寶麗多,雙星情歌,,許冠傑,許冠傑,許冠傑,,,,
1,1974,鬼馬雙星,Full,寶麗多,鬼馬雙星,,許冠傑,許冠傑,許冠傑,,,,
2,1974,鬼馬雙星,Full,寶麗多,甜蜜伴侶,,許冠傑,許冠英,許冠英,,,,
3,1974,鬼馬雙星,Full,寶麗多,無情夜冷風,,許冠傑,許冠英,許冠英,,,,
4,1974,鬼馬雙星,Full,寶麗多,一水隔天涯／愛你三百六十年,一水隔天涯;愛你三百六十五年,許冠傑,于粦;川口真,許冠傑,一水隔天涯;愛你三百六十五年,,,
5,1974,鬼馬雙星,Full,寶麗多,春夢良宵,,許冠傑,Lobo,許冠傑,,,,
6,1974,鬼馬雙星,Full,寶麗多,制水歌,,許冠傑,Paul Simon,許冠傑,,,,
7,1974,鬼馬雙星,Full,寶麗多,等玉人,,許冠傑,Ron Elliot;Bob Durand,許冠傑,,,,
8,1974,鬼馬雙星,Full,寶麗多,鐵塔凌雲,,許冠傑,許冠傑,許冠文,,,,
9,1974,鬼馬雙星,Full,寶麗多,夜雨聲,,許冠傑,許冠英,許冠英,,,,
10,1974,鬼馬雙星,Full,寶麗多,雙星情歌(音樂),,Instrumental,許冠傑,許冠傑,,,,
11,1975,天才與白痴,Full,寶麗多,天才與白痴,,許冠傑,許冠傑,許冠傑;薛志雄,,,,
12,1975,天才與白痴,Full,寶麗多,天才白痴往日情,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
"
13,1975,天才與白痴,Full,寶麗多,天才白痴錢錢錢,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
"
14,1975,天才與白痴,Full,寶麗多,天才白痴夢,,許冠傑,許冠傑,許冠傑;薛志雄,,,天才與白痴,"插曲
"
15,1975,天才與白痴,Full,寶麗多,情人離別去,,許冠傑,Paul Vance;Edward Snyder,許冠英,What Will My Mary Say,,,
16,1975,天才與白痴,Full,寶麗多,青春夢裡人,,許冠傑,Tobias,許冠傑,Stay Awhile,,,
17,1975,天才與白痴,Full,寶麗多,獨上西樓,,許冠傑,Gibbs,許冠傑,Holiday,,,
18,1975,天才與白痴,Full,寶麗多,齊齊唱首歌,,許冠傑,許冠傑,許冠傑,,,,
19,1975,天才與白痴,Full,寶麗多,莫等待,,許冠傑,許冠傑,許冠傑,,,,
20,1975,天才與白痴,Full,寶麗多,歡樂桃源,,許冠傑,許冠英,許冠英,,,,
21,1975,天才與白痴,Full,寶麗多,故苑懷舊,,許冠傑,許冠英,許冠英,,,,
22,1975,天才與白痴,Full,寶麗多,天才白痴往日情(音樂),,Instrumental,許冠傑,Instrumental,,,,
23,1976,半斤八兩,Full,寶麗多,半斤八兩,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
24,1976,半斤八兩,Full,寶麗多,浪子心聲,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
25,1976,半斤八兩,Full,寶麗多,打雀英雄傳,,許冠傑,劉傑,許冠傑;黎彼得,,,,
26,1976,半斤八兩,Full,寶麗多,梨渦淺笑,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
27,1976,半斤八兩,Full,寶麗多,大家跟住唱,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
28,1976,半斤八兩,Full,寶麗多,有酒今朝醉,,許冠傑,Stephen Foster,許冠傑;黎彼得,,,,
29,1976,半斤八兩,Full,寶麗多,知音夢裡尋,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
30,1976,半斤八兩,Full,寶麗多,鬼馬大家樂,香港交通歌;醫生頌;點解要擺酒;拍拖安全歌,許冠傑,溫拿樂隊;黃霑,許冠傑;黎彼得,,,,
31,1976,半斤八兩,Full,寶麗多,夜半輕私語,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
32,1976,半斤八兩,Full,寶麗多,斷腸夢,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
33,1976,半斤八兩,Full,寶麗多,追求三部曲,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
34,1976,半斤八兩,Full,寶麗多,流水恨,,許冠傑,許冠英,許冠傑;黎彼得,,,,
35,1978,財神到,Full,寶麗多,財神到,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
36,1978,財神到,Full,寶麗多,何處覓蓬萊,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
37,1978,財神到,Full,寶麗多,錢會繼續嚟,,許冠傑,Wayne Reichner,許冠傑;黎彼得,,,,
38,1978,財神到,Full,寶麗多,為你,,許冠傑,許冠傑,詹惠風,,,,
39,1978,財神到,Full,寶麗多,麻雀耍樂,,許冠傑,Bert Russell,許冠傑;黎彼得,,,,
40,1978,財神到,Full,寶麗多,柔情淚,,許冠傑,Fred Wise;Ben Weisman;Jack Lloyd,許冠傑;黎彼得,,,,
41,1978,財神到,Full,寶麗多,我愛你,,許冠傑;陳秋霞,Hugo Peretti;Luigi Creatore;George David Weiss,許冠傑;黎彼得,Ku'uipo,Elvis Presley,,
42,1978,財神到,Full,寶麗多,佛跳牆,,許冠傑,Otis Blackwell,許冠傑;黎彼得,,,,
43,1978,財神到,Full,寶麗多,往事,,許冠傑,Sid Tepper;Roy C. Bennett,許冠傑;黎彼得,Angel,Elvis Presley,,
44,1978,財神到,Full,寶麗多,今宵,,許冠傑,許冠傑,許冠傑;詹惠風,,,,
45,1978,財神到,Full,寶麗多,咪當我老襯,,許冠傑,Jerry Leiber;Mike Stoller,許冠傑;黎彼得,Baby I Don't Care,Elvis Presley,,
46,1978,財神到,Full,寶麗多,愛,,許冠傑,許冠傑,許冠傑;詹惠風,,,,
47,1978,賣身契,Full,寶麗多,賣身契,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
48,1978,賣身契,Full,寶麗多,舞伴,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
49,1978,賣身契,Full,寶麗多,男兒漢,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
50,1978,賣身契,Full,寶麗多,世事如棋,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
51,1978,賣身契,Full,寶麗多,應該要自愛,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
52,1978,賣身契,Full,寶麗多,人生的道路,,許冠傑,許冠傑,許冠傑;鄭國江,,,,
53,1978,賣身契,Full,寶麗多,學生哥,,許冠傑,Goldstein,許冠傑;黎彼得,,,,
54,1978,賣身契,Full,寶麗多,杯酒當歌,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
55,1978,賣身契,Full,寶麗多,拜拜,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
56,1978,賣身契,Full,寶麗多,相思萬千重,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
57,1978,賣身契,Full,寶麗多,飲勝,,許冠傑,許冠傑,許冠傑;黎彼得,,,,
