,Source,Title,Lyrics
0,mojim.com,雙星情歌,"許冠傑

雙星情歌

作詞：許冠傑
作曲：許冠傑

曳搖共對輕舟飄，互傳誓約慶春曉，
兩心相邀影相照，願化海鷗輕唱悅情調。

艷陽下與妹相親，望揩白首永不分，
美景醉人心相允，綠柳花間相對訂緣份。

心兩牽，萬里阻隔相思愛莫變，
離別悽酸今朝似未見，明日對花憶卿面。

淚殘夢了燭影深，月明獨照冷鴛枕，
醉擁孤衾悲不禁，夜半飲泣空帳獨懷憾。"
1,mojim.com,鬼馬雙星,"許冠傑

鬼馬雙星

為兩餐乜都肯制前世 撞正輸曬心翳滯無謂
求望發達一味靠搵丁 鬼馬雙星綽頭勁
亂搏蒙撈偏門確唔曳 做慣監躉經已系成例
求望發達一味靠搵丁 鬼馬雙星眼瞏瞏
人生如賭博 贏輸都無時定
贏咗得餐笑 輸光唔駛興

做老千梗好搵過皇帝 扮蟹賴野真正系滑稽
求望發達一味靠搵丁 鬼馬雙星怕現形

求望發達一味靠搵丁 鬼馬雙星眼瞏瞏
人生如賭博 贏輸都無時定
贏咗得餐笑 輸光唔駛興
做老千梗好搵過皇帝 扮蟹賴野真正系滑稽
求望發達一味靠搵丁 鬼馬雙星
鬼馬雙星 鬼馬雙星
唔…真系有型啊



感謝 Oscar 正字方圓 修正歌詞"
2,mojim.com,甜蜜伴侶,"許冠傑

甜蜜伴侶

作詞：許冠英
作曲：許冠英

昨晚 與妳相相會面
盟言 和誓約在月殿
愛您 哪怕海沽石爛
我倆 愛心不變

*同林燕 相對共願 前途愉快樂融融
甜蜜伴侶 相對歌頌 情話輕送

更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
我與妳 百花間蕩漾
春鸚 齊共舞在樹上
細訴 我倆心中願望
倍覺 快慰心歡暢

Repeat*

妹啊 我愛妳
海沽石爛 我哋愛心不變"
3,mojim.com,無情夜冷風,"許冠傑

無情夜冷風

作詞：許冠英
作曲：許冠英

^無情夜冷風 吹散熱情夢
含淚對孤燈 癡心錯恨種

*情緣如霧散 戀愛多變幻
獨念往日情 悽酸透心間
懷人空悲嘆 悵惘心冷淡
月夜暗自彈 傷心滿淚眼

無情夜冷風 憶往日情重
離別燕分飛 相思已斷送

Repeat*^

離別燕分飛 相思已斷送"
4,mojim.com,一水隔天涯／愛你三百六十年,"許冠傑

一水隔天涯/愛你三百六十五年

原曲：一水隔天涯/愛你三百六十五年
作詞：許冠傑
作曲：于粦/川口真

【一水隔天涯】

妹愛哥情重 呢句話係發噏風
冇銀點情重 唔通成世褲穿窿
梗係一水隔天涯 皆因水冇就捱窮

莫水得場夢 咪話妹佢冇陰功
麵包都幾毫一件 唔通成世喫西風
梗係一水隔天涯 皆因水滿就唔同

千萬家財 多有味
無肉無柴 真堪悲
咪話妹佢 唔捱義氣
肚不飽時 冇心機

預計將來用 所以妹佢要數籠
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
莫怨畀金錢弄 唯有快手啲搵籠
因為一水隔天涯 搵到水你就呀唔同 搵到水你就呀唔同

【愛你三百六十五年】(國)

不要愛你三百六十五天 三百六十五天只有一年
愛你怎麼能愛得這麼短 只愛一兩年

不要愛你三百六十年 壽星公也不過活一百年
如果愛你一定要愛幾百年 我怕早已升了天

看著你 看著你太多會厭
愛著愛著你 愛著太淺會變
要不厭不變 我左計右算 最好愛你六十年

不要愛你三百六十五天 也不愛你三百六十五年
不愛一年也不愛你幾百年 我只愛你六十年"
5,mojim.com,春夢良宵,"許冠傑

春夢良宵

作詞：許冠傑
作曲：Lobo

見您咁靓真銷魂，我已變到瘟瘟燉，
瀝瀝鶯聲真嬌艷，但願共你好緣盟。

快快去到妹跟前，我眼跳腳軟似觸親電，
雙雙傾心偷偷望，互遇恨晚始相見。

Baby！今宵相對共享，翩翩起舞共唱，春風吹進羅帳，
Baby！今宵相對共享，翩翩起舞共唱，與你相親真歡暢。

痛痛快快真一流，你嘅愛意我心消受，
千金一刻享春夢，共度十世都不夠。"
6,mojim.com,制水歌,"許冠傑

制水歌

作詞：許冠傑
作曲：Simon

又制水真正難受氣，(又制水真冇樂趣)
又制水的確係無謂，
又制水今晚點沖涼，
成晚要乾煎真撞鬼。

OH! 真苦透呀老友，聽朝早D起身，
搵定水桶半打，裝多水乜都假，
水緊真真冇修，快搵多水啦老友，
莫水真陰功，請保重。

又制水，夜街你都無謂去，
又制水，拍拖都冇話厘味，
又制水，妹佢怕我週身一陣除，
成晚要乾煎真正悲。



感謝 Him Him 修正歌詞"
7,mojim.com,等玉人,"許冠傑

等玉人

作詞：許冠傑
作曲：Elliot-Durand

正夜闌，碎夢殘，盼玉人，未見返，
記舊情，眼淚盈，怨負盟，獨對影。

愛已斷，暗自憐，往日情，恨變遷，
冷夜靜，怨薄命，隔異地，念愛卿

對月誓，愛難忘，痛斷腸，淚已乾，
往日情，意萬重，嘆別離，夢已空。

愛海鴛鴦一朝變泡影，
對景孤單悲泣暗怨恨你負情。"
8,mojim.com,鐵塔凌雲,"許冠傑

鐵塔凌雲

作詞：許冠文
作曲：許冠傑

鐵塔凌雲 望不見歡欣人面
富士聳峙 聽不見遊人歡笑
自由神像 在遠方迷霧
山長水遠未入其懷抱
檀島灘岸點點燐光
豈能及漁燈在彼邦?

俯首低問 何時何方何模樣
回音輕傳 此時此處此模樣
何須多見復多求
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
且唱一曲歸途上
此時此處此模樣 此模樣...

檀島灘岸點點燐光
豈能及漁燈在彼邦?

俯首低問 何時何方何模樣
回音輕傳 此時此處此模樣
何須多見復多求
且唱一曲歸途上
此時此處此模樣 此模樣..."
9,mojim.com,夜雨聲,"許冠傑

夜雨聲

作詞：許冠英
作曲：許冠英

夜雨聲 嘆憶愛恨難明
奈何卿 已一去不見影
情緣一朝化空心掛念
離愁夜 雨點聲不願聽

夜雨聲 倍感往事無情
夜傳鶯 暗低唱悲怨聲
難忘雙飛燕依稀往事
愁腸斷 我湧襟珠淚馨

誰憐憫 苦相思歸泡影
千般愁 向蒼天悲怨命
愁城困 獨孤單悲冷清
鴛鴦難望再見淚凝凝



感謝 henri 提供歌詞"
